Ссылка;Название;Название ин.;Дата выхода;Длительность;Страна;Жанр;Режиссёр;В главных ролях;РейтингКол-во оценок
https://www.kinopoisk.ru//film/45403/;Зоя;no eng title;1944;95;СССР;драма;Лев Арнштам;Галина Водяницкая, Тамара Альцева;6,7;1697
https://www.kinopoisk.ru//film/419431/;И ты увидишь небо;no eng title;1978;67;СССР;драма;Георгий Кузнецов;Владимир Широков, Александр Пороховщиков;6,3;773
https://www.kinopoisk.ru//film/42667/;Иваново детство;no eng title;1962;96;СССР;драма;Андрей Тарковский;Николай Бурляев, Валентин Зубков;8,0;51912
https://www.kinopoisk.ru//film/42571/;Иди и смотри;no eng title;1985;136;СССР;драма;Элем Климов;Алексей Кравченко, Ольга Миронова;8,2;143852
https://www.kinopoisk.ru//film/42583/;Их знали только в лицо;no eng title;1966;92;СССР;драма;Антон Тимонишин;Ирина Мирошниченко, Александр Белявский;7,0;2378
https://www.kinopoisk.ru//film/44869/;Командир счастливой «Щуки»;no eng title;1972;95;СССР;боевик;Борис Волчек;Пётр Вельяминов, Донатас Банионис;7,7;8021
https://www.kinopoisk.ru//film/44936/;Корпус генерала Шубникова;no eng title;1980;89;СССР;военный;Дамир Вятич-Бережных;Анатолий Васильев, Виктор Коршунов;6,7;1368
https://www.kinopoisk.ru//series/81444/;Красная капелла;no eng title;2004;43;Россия;триллер;Александр Аравин;Андрей Ильин, Алексей Горбунов;7,7;4340
https://www.kinopoisk.ru//film/44974/;Крепкий орешек;no eng title;1968;78;СССР;комедия;Теодор Вульфович;Надежда Румянцева, Виталий Соломин;7,6;9977
https://www.kinopoisk.ru//film/45002/;Крылья;no eng title;1966;86;СССР;драма;Лариса Шепитько;Майя Булгакова, Сергей Никоненко;7,7;3431
https://www.kinopoisk.ru//film/7967/;Кукушка;no eng title;2002;100;Россия;драма;Александр Рогожкин;Анни-Кристина Юусо, Вилле Хаапасало;7,6;44312
https://www.kinopoisk.ru//film/439608/;Летняя поездка к морю;no eng title;1978;90;СССР;военный;Семён Аранович;Игорь Фокин, Анатолий Горин;7,2;2112
https://www.kinopoisk.ru//film/7724/;Летят журавли;no eng title;1957;95;СССР;военный;Михаил Калатозов;Татьяна Самойлова, Алексей Баталов;8,3;121600
https://www.kinopoisk.ru//series/46508/;Майор «Вихрь»;no eng title;1967;216;СССР;приключения;Евгений Ташков;Вадим Бероев, Евгений Буренков;7,6;5470
https://www.kinopoisk.ru//film/46509/;Майские звезды;Mayskie zvyozdy;1959;95;СССР;военный;Станислав Ростоцкий;Александр Ханов, Миша Станинец;7,2;1693
https://www.kinopoisk.ru//film/46514/;Малахов курган;no eng title;1944;90;СССР;драма;Иосиф Хейфиц;Николай Крючков, Борис Андреев;6,4;481
https://www.kinopoisk.ru//film/46525/;Мама, я жив;no eng title;1976;103;Германия;драма;Конрад Вольф;Петер Прагер, Уве Цербе;6,0;491
https://www.kinopoisk.ru//film/46549/;Машенька;no eng title;1942;77;СССР;драма;Юлий Райзман;Валентина Караваева, Михаил Кузнецов;7,5;2000
https://www.kinopoisk.ru//film/461722/;Минута молчания;no eng title;1971;101;СССР;драма;Игорь Шатров;Александр Кавалеров, Юрий Кузьменков;7,3;1028
https://www.kinopoisk.ru//film/46645/;Мир входящему;no eng title;1961;90;СССР;драма;Александр Алов;Виктор Авдюшко, Александр Демьяненко;7,7;1618
https://www.kinopoisk.ru//film/46682/;Молодая гвардия;no eng title;1948;160;СССР;драма;Сергей Герасимов;Владимир Иванов, Инна Макарова;7,7;8109
https://www.kinopoisk.ru//film/461769/;Морской характер;no eng title;1970;90;СССР;драма;Василий Журавлев;Николай Крючков, Владимир Дружников;6,1;598
https://www.kinopoisk.ru//film/260315/;Мы из будущего;no eng title;2008;115;Россия;фантастика;Андрей Малюков;Данила Козловский, Дмитрий Волкострелов;7,2;153355
https://www.kinopoisk.ru//series/252023/;На безымянной высоте;no eng title;2004;188;Россия;боевик;Вячеслав Никифоров;Виктория Толстоганова, Алексей Чадов;7,4;20236
https://www.kinopoisk.ru//film/46285/;На войне как на войне;no eng title;1968;90;СССР;военный;Виктор Трегубович;Михаил Кононов, Олег Борисов;8,4;47335
https://www.kinopoisk.ru//series/46287/;На всю оставшуюся жизнь;no eng title;1975;270;СССР;драма;Петр Фоменко;Алексей Эйбоженко, Эрнст Романов;7,9;2992
https://www.kinopoisk.ru//film/46264/;На дорогах войны;no eng title;1958;87;СССР;военный;Леон Сааков;Всеволод Санаев, Анатолий Кузнецов;6,1;517
https://www.kinopoisk.ru//film/397420/;На пути в Берлин;no eng title;1969;92;СССР;военный;Михаил Ершов;Николай Трофимов, Геннадий Карнович-Валуа;6,9;1224
https://www.kinopoisk.ru//film/46283/;На семи ветрах;no eng title;1962;106;СССР;драма;Станислав Ростоцкий;Лариса Лужина, Вячеслав Тихонов;7,9;4706
https://www.kinopoisk.ru//film/419607/;Назначаешься внучкой;no eng title;1975;144;СССР;военный;Ярополк Лапшин;Борис Андреев, Ирина Гришина;7,0;1604
https://www.kinopoisk.ru//film/46336/;Нашествие;no eng title;1944;100;СССР;военный;Абрам Роом;Владимир Гремин, Ольга Жизнева;6,1;512
https://www.kinopoisk.ru//film/46372/;Не забудь... станция Луговая;no eng title;1966;84;СССР;драма;Никита Курихин;Георгий Юматов, Алла Чернова;7,4;1619
