Ссылка;Название;Название ин.;Дата выхода;Длительность;Страна;Жанр;Режиссёр;В главных ролях;РейтингКол-во оценок
https://www.kinopoisk.ru//film/1047881/;Во всё тяжкое;The Professor;2018;90;США;драма;Уэйн Робертс;Джонни Депп, Розмари ДеУитт;7,3;302295
https://www.kinopoisk.ru//film/395138/;Пропавшая Меган;Megan Is Missing;2011;89;США;ужасы;Майкл Гои;Эмбер Перкинс, Рэйчел Куинн;0;8069
https://www.kinopoisk.ru//film/978020/;Статус: Обновлен;Status Update;2018;106;Канада;фэнтези;Скотт Спир;Росс Линч, Оливия Холт;0;41796
https://www.kinopoisk.ru//film/453406/;Безумный Макс: Дорога ярости;Mad Max: Fury Road;2015;120;Австралия;боевик;Джордж Миллер;Том Харди, Шарлиз Терон;7,8;374483
https://www.kinopoisk.ru//film/1209777/;Уроки фарси;Persian Lessons;2020;128;Россия;драма;Вадим Перельман;Науэль Перес Бискаярт, Ларс Айдингер;7,9;195341
https://www.kinopoisk.ru//film/6144/;Реальная любовь;Love Actually;2003;129;Великобритания;мелодрама;Ричард Кёртис;Хью Грант, Билл Найи;7,9;256084
https://www.kinopoisk.ru//film/495518/;Один день;One Day;2011;103;США;драма;Лоне Шерфиг;Энн Хэтэуэй, Джим Стёрджесс;7,8;183021
https://www.kinopoisk.ru//film/4541441/;Тихий садовник;Master Gardener;2022;111;США;драма;Пол Шредер;Джоэл Эдгертон, Сигурни Уивер;0;23501
https://www.kinopoisk.ru//film/220617/;Перелом;Fracture;2007;108;Германия;триллер;Грегори Хоблит;Энтони Хопкинс, Райан Гослинг;7,7;134679
https://www.kinopoisk.ru//film/4375/;Планета обезьян;Planet of the Apes;2001;119;США;фантастика;Тим Бёртон;Марк Уолберг, Тим Рот;0;82401
https://www.kinopoisk.ru//film/558393/;Серый человек;The Gray Man;2022;120;США;боевик;Энтони Руссо;Райан Гослинг, Крис Эванс;0;39746
https://www.kinopoisk.ru//film/493992/;Эта дурацкая любовь;Crazy, Stupid, Love.;2011;118;США;мелодрама;Гленн Фикарра;Стив Карелл, Райан Гослинг;7,6;146974
https://www.kinopoisk.ru//film/63991/;Пираты Карибского моря: Сундук мертвеца;Pirates of the Caribbean: Dead Man's Chest;2006;151;США;фэнтези;Гор Вербински;Джонни Депп, Орландо Блум;8,1;612663
https://www.kinopoisk.ru//film/4948328/;Два, три, демон, приди!;Talk to Me;2022;94;Австралия;ужасы;Дэнни Филиппу;Софи Уайлд, Джо Бёрд;0;0
https://www.kinopoisk.ru//film/77673/;Ключ от всех дверей;The Skeleton Key;2005;104;США;ужасы;Иэн Софтли;Кейт Хадсон, Джина Роулендс;7,3;186827
https://www.kinopoisk.ru//film/6877/;Терминал;The Terminal;2004;124;США;драма;Стивен Спилберг;Том Хэнкс, Кэтрин Зета-Джонс;8,1;431422
https://www.kinopoisk.ru//film/1449103/;При чём тут любовь?;What's Love Got to Do with It?;2022;108;Великобритания;мелодрама;Шекхар Капур;Лили Джеймс, Шазад Латиф;7,4;68115
https://www.kinopoisk.ru//film/468102/;О чём говорят мужчины;no eng title;2010;93;Россия;комедия;Дмитрий Дьяченко;Леонид Барац, Александр Демидов;7,8;307832
https://www.kinopoisk.ru//film/14349/;Такси;Taxi;1998;86;Франция;боевик;Жерар Пирес;Сами Насери, Фредерик Дифенталь;7,9;366701
https://www.kinopoisk.ru//film/817324/;Убийца;Sicario;2015;121;США;боевик;Дени Вильнёв;Эмили Блант, Бенисио Дель Торо;7,2;130653
https://www.kinopoisk.ru//film/1449972/;Люби снова;Love Again;2023;104;США;драма;Джеймс С. Страуз;Приянка Чопра Джонас, Сэм Хьюэн;0;3277
https://www.kinopoisk.ru//film/1396525/;Там, где раки поют;Where the Crawdads Sing;2022;125;США;триллер;Оливия Ньюман;Дэйзи Эдгар-Джонс, Тейлор Джон Смит;7,1;35301
https://www.kinopoisk.ru//film/893487/;На пятьдесят оттенков темнее;Fifty Shades Darker;2017;118;США;триллер;Джеймс Фоули;Дакота Джонсон, Джейми Дорнан;0;114899
https://www.kinopoisk.ru//film/4891375/;Дом удовольствий;La maison;2022;86;Франция;драма;Анисса Боннфон;Ана Жирардо, Ор Атика;0;1018
https://www.kinopoisk.ru//film/3231/;Аэроплан;Airplane!;1980;88;США;комедия;Джим Абрахамс;Роберт Хэйс, Джули Хэгерти;7,5;37965
