Ссылка;Название;Название ин.;Дата выхода;Длительность;Страна;Жанр;Режиссёр;В главных ролях;РейтингКол-во оценок
https://www.kinopoisk.ru//film/8221/;Мой сосед Тоторо;Tonari no Totoro;1988;86;Япония;аниме;Хаяо Миядзаки;Норико Хидака, Тика Сакамото;8,5;36187
https://www.kinopoisk.ru//film/586397/;Джанго освобожденный;Django Unchained;2012;165;США;вестерн;Квентин Тарантино;Джейми Фокс, Кристоф Вальц;8,5;113493
https://www.kinopoisk.ru//film/41520/;Брат 2;no eng title;2000;127;Россия;боевик;Алексей Балабанов;Сергей Бодров мл., Виктор Сухоруков;8,5;144623
https://www.kinopoisk.ru//film/470553/;Прислуга;The Help;2011;146;США;драма;Тейт Тейлор;Эмма Стоун, Виола Дэвис;8,5;110367
https://www.kinopoisk.ru//film/355/;Пианист;The Pianist;2002;149;Франция;драма;Роман Полански;Эдриан Броуди, Эмилия Фокс;8,5;60859
https://www.kinopoisk.ru//film/714248/;Песнь моря;Song of the Sea;2014;93;Ирландия;мультфильм;Томм Мур;Дэвид Роул, Брендан Глисон;8,5;25532
https://www.kinopoisk.ru//film/441/;Принцесса Мононоке;Mononoke-hime;1997;134;Япония;аниме;Хаяо Миядзаки;Ёдзи Мацуда, Юрико Исида;8,5;23307
https://www.kinopoisk.ru//film/44027/;Судьба человека;no eng title;1959;97;СССР;драма;Сергей Бондарчук;Сергей Бондарчук, Павел Полунин;8,5;24873
https://www.kinopoisk.ru//film/5502/;Назад в будущее 2;Back to the Future Part II;1989;108;США;фантастика;Роберт Земекис;Майкл Дж. Фокс, Кристофер Ллойд;8,5;44975
https://www.kinopoisk.ru//film/63912/;Укрощение строптивого;Il bisbetico domato;1980;107;Италия;мелодрама;Франко Кастеллано;Адриано Челентано, Орнелла Мути;8,5;76667
https://www.kinopoisk.ru//film/89514/;Рататуй;Ratatouille;2007;111;США;мультфильм;Брэд Бёрд;Пэттон Освальт, Иэн Холм;8,4;116566
https://www.kinopoisk.ru//film/803422/;Пеле: Рождение легенды;Pel: Birth of a Legend;2015;107;США;биография;Джефф Цимбалист;Кевин де Паула, Леонардо Лима Карвальо;8,4;91579
https://www.kinopoisk.ru//film/325/;Крестный отец;The Godfather;1972;175;США;драма;Фрэнсис Форд Коппола;Марлон Брандо, Аль Пачино;8,4;35319
https://www.kinopoisk.ru//film/46745/;Мужики!..;no eng title;1981;97;СССР;драма;Искра Бабич;Александр Михайлов, Ирина Иванова;8,4;31866
https://www.kinopoisk.ru//film/63991/;Пираты Карибского моря: Сундук мертвеца;Pirates of the Caribbean: Dead Man's Chest;2006;151;США;фэнтези;Гор Вербински;Джонни Депп, Орландо Блум;8,4;104148
https://www.kinopoisk.ru//film/278522/;Хоббит: Нежданное путешествие;The Hobbit: An Unexpected Journey;2012;169;Новая;фэнтези;Питер Джексон;Мартин Фриман, Иэн Маккеллен;8,4;91914
https://www.kinopoisk.ru//film/77283/;Тот самый Мюнхгаузен;no eng title;1979;134;СССР;фэнтези;Марк Захаров;Олег Янковский, Инна Чурикова;8,4;24374
https://www.kinopoisk.ru//film/4871/;Запах женщины;Scent of a Woman;1992;156;США;драма;Мартин Брест;Аль Пачино, Крис О’Доннелл;8,4;34948
https://www.kinopoisk.ru//film/775276/;Зверополис;Zootopia;2016;108;США;мультфильм;Байрон Ховард;Джиннифер Гудвин, Джейсон Бейтман;8,4;172404
https://www.kinopoisk.ru//film/301/;Матрица;The Matrix;1999;136;США;фантастика;Лана Вачовски;Киану Ривз, Лоренс Фишбёрн;8,4;54534
https://www.kinopoisk.ru//film/725190/;Одержимость;Whiplash;2013;106;США;драма;Дэмьен Шазелл;Майлз Теллер, Дж.К. Симмонс;8,4;85021
https://www.kinopoisk.ru//film/77264/;Шерлок Холмс и доктор Ватсон: Сокровища Агры;no eng title;1983;151;СССР;мелодрама;Игорь Масленников;Василий Ливанов, Виталий Соломин;8,4;17727
https://www.kinopoisk.ru//film/5928/;Один дома 2: Затерянный в Нью-Йорке;Home Alone 2: Lost in New York;1992;119;США;комедия;Крис Коламбус;Маколей Калкин, Джо Пеши;8,4;190647
https://www.kinopoisk.ru//film/458/;Корпорация монстров;Monsters, Inc.;2001;92;США;мультфильм;Пит Доктер;Джон Гудман, Билли Кристал;8,4;77444
https://www.kinopoisk.ru//film/572553/;Маленький принц;Le Petit Prince;2015;108;Франция;мультфильм;Марк Осборн;Джефф Бриджес, Маккензи Фой;8,4;29332
https://www.kinopoisk.ru//film/8408/;Гарри Поттер и Кубок огня;Harry Potter and the Goblet of Fire;2005;157;Великобритания;фэнтези;Майк Ньюэлл;Дэниэл Рэдклифф, Руперт Гринт;8,4;96313
https://www.kinopoisk.ru//film/2656/;Пятый элемент;The Fifth Element;1997;126;Франция;фантастика;Люк Бессон;Брюс Уиллис, Милла Йовович;8,4;110657
https://www.kinopoisk.ru//film/42571/;Иди и смотри;no eng title;1985;136;СССР;драма;Элем Климов;Алексей Кравченко, Ольга Миронова;8,4;40521
https://www.kinopoisk.ru//film/5277/;Мулан;Mulan;1998;84;США;мультфильм;Тони Бэнкрофт;Эдди Мерфи, Лиа Салонга;8,4;47547
https://www.kinopoisk.ru//film/195334/;Престиж;The Prestige;2006;125;Великобритания;триллер;Кристофер Нолан;Хью Джекман, Кристиан Бэйл;8,4;35307
https://www.kinopoisk.ru//film/694633/;Хоббит: Битва пяти воинств;The Hobbit: The Battle of the Five Armies;2014;144;Новая;фэнтези;Питер Джексон;Мартин Фриман, Иэн Маккеллен;8,4;65004
https://www.kinopoisk.ru//film/6006/;Мадагаскар;Madagascar;2005;86;США;мультфильм;Эрик Дарнелл;Бен Стиллер, Крис Рок;8,4;108395
https://www.kinopoisk.ru//film/81314/;Отступники;The Departed;2006;151;США;триллер;Мартин Скорсезе;Леонардо ДиКаприо, Мэтт Дэймон;8,4;31605
https://www.kinopoisk.ru//film/327/;Крестный отец 2;The Godfather: Part II;1974;202;США;драма;Фрэнсис Форд Коппола;Аль Пачино, Роберт Де Ниро;8,4;16634
https://www.kinopoisk.ru//film/7724/;Летят журавли;no eng title;1957;95;СССР;военный;Михаил Калатозов;Татьяна Самойлова, Алексей Баталов;8,4;19506
https://www.kinopoisk.ru//film/346/;12 разгневанных мужчин;12 Angry Men;1956;96;США;драма;Сидни Люмет;Генри Фонда, Мартин Болсам;8,4;10197
https://www.kinopoisk.ru//film/462682/;Волк с Уолл-стрит;The Wolf of Wall Street;2013;180;США;драма;Мартин Скорсезе;Леонардо ДиКаприо, Джона Хилл;8,4;227080
https://www.kinopoisk.ru//film/45146/;Любовь и голуби;no eng title;1984;107;СССР;мелодрама;Владимир Меньшов;Александр Михайлов, Нина Дорошина;8,4;142617
https://www.kinopoisk.ru//film/4541/;Шоу Трумана;The Truman Show;1998;103;США;драма;Питер Уир;Джим Керри, Лора Линни;8,4;94821
https://www.kinopoisk.ru//film/5619/;Звёздные войны: Эпизод 3 — Месть ситхов;Star Wars: Episode III - Revenge of the Sith;2005;140;США;фантастика;Джордж Лукас;Юэн Макгрегор, Натали Портман;8,4;45222
https://www.kinopoisk.ru//film/2361/;Аладдин;Aladdin;1992;90;США;мультфильм;Рон Клементс;Скотт Венгер, Робин Уильямс;8,4;36805
https://www.kinopoisk.ru//film/470191/;Невероятный мир глазами Энцо;The Art of Racing in the Rain;2019;109;США;драма;Саймон Кёртис;Кевин Костнер, Майло Вентимилья;8,4;47374
https://www.kinopoisk.ru//film/2428/;Ведьмина служба доставки;Majo no takkybin;1989;103;Япония;аниме;Хаяо Миядзаки;Минами Такаяма, Рэи Сакума;8,4;21786
https://www.kinopoisk.ru//film/45660/;Вам и не снилось...;no eng title;1980;86;СССР;драма;Илья Фрэз;Татьяна Аксюта, Никита Михайловский;8,4;34606
